"id","agente_id/id","name","parent_id/id"
"__export__.gevi_zone_zona_agente_1","","CALABRIA",""
"__export__.gevi_zone_zona_agente_2","","COSENZA","__export__.gevi_zone_zona_agente_1"
"__export__.gevi_zone_zona_agente_3","","CATANZARO","__export__.gevi_zone_zona_agente_1"
"__export__.gevi_zone_zona_agente_4","","CROTONE","__export__.gevi_zone_zona_agente_1"
"__export__.gevi_zone_zona_agente_5","","REGGIO CALABRIA","__export__.gevi_zone_zona_agente_1"
