"id","parent_id/id","name","commerciale_id/id"
"__export__.gevi_zone_zona_commerciale_1","","CALABRIA",""
"__export__.gevi_zone_zona_commerciale_2","__export__.gevi_zone_zona_commerciale_1","COSENZA",""
"__export__.gevi_zone_zona_commerciale_3","__export__.gevi_zone_zona_commerciale_1","CATANZARO",""
"__export__.gevi_zone_zona_commerciale_4","__export__.gevi_zone_zona_commerciale_1","REGGIO CALABRIA",""
