"id","parent_id/id","name","ispettore_id/id","responsabile_tecnico_id/id"
"__export__.gevi_zone_zona_impianto_1","","CALABRIA","",""
"__export__.gevi_zone_zona_impianto_2","__export__.gevi_zone_zona_impianto_1","COSENZA","",""
"__export__.gevi_zone_zona_impianto_3","__export__.gevi_zone_zona_impianto_1","CATANZARO","",""
