"id","name","tipo"
"__export__.gevi_impianti_valore_attributo_1","SI","Rilievo"
"__export__.gevi_impianti_valore_attributo_2","NO","Rilievo"
"__export__.gevi_impianti_valore_attributo_3","N/A","Rilievo"
"__export__.gevi_impianti_valore_attributo_4","OK","Riscontro"
"__export__.gevi_impianti_valore_attributo_5","KO","Riscontro"
"__export__.gevi_impianti_valore_attributo_6","NOTE","Riscontro"
"__export__.gevi_impianti_valore_attributo_7","N/A","Riscontro"
